[[0.55211294f32, 0.92269695f32, 0.9263346f32, 0.76031244f32, 4.4560432e-2f32, 0.15218955f32, 0.8324485f32, 0.4641732f32, 0.42986304f32, 0.23069465f32, 0.64630336f32, 0.39444554f32, 0.4127522f32, 0.9278825f32, 0.29872316f32, 0.8212209f32, 4.471904e-2f32, 0.87854564f32, 0.16331613f32, 0.5252652f32, 9.7780704e-2f32, 0.80848676f32, 0.22444439f32, 0.9110458f32, 0.25036442f32, 0.7006035f32, 0.53238165f32, 0.7711636f32, 0.67057896f32, 0.16556478f32, 0.6467155f32, 0.60063607f32, 0.46314824f32, 0.73121196f32, 5.266297e-2f32, 0.652202f32, 0.3082754f32, 0.5034889f32, 0.5236784f32, 0.17770082f32, 0.6610218f32, 0.20861006f32, 0.60866684f32, 0.44252676f32, 0.8148357f32, 0.18067193f32, 0.73747647f32, 0.7319014f32, 2.4639368e-2f32, 0.8380572f32, 0.736061f32, 0.41109872f32, 0.97254246f32, 0.4919759f32, 0.61829764f32, 0.5953416f32, 0.438626f32, 0.18018663f32, 0.2503978f32, 0.618888f32, 0.7877535f32, 0.92157996f32, 0.5968014f32, 1.5969336e-2f32],
[0.6584511f32, 0.20389181f32, 0.17369425f32, 0.113941014f32, 0.9657819f32, 0.5160448f32, 0.5178615f32, 0.6508118f32, 0.8008553f32, 0.12994075f32, 0.84245545f32, 0.38518298f32, 0.9723426f32, 0.60702443f32, 0.5642468f32, 0.19363004f32, 0.7845997f32, 0.15405118f32, 3.370291e-2f32, 1.0207295e-2f32, 0.45081192f32, 0.80040824f32, 0.4338218f32, 0.7295768f32, 8.151966e-2f32, 0.34049278f32, 0.53927386f32, 0.46759683f32, 0.5029094f32, 0.5369984f32, 0.82646096f32, 0.5407037f32, 0.39652735f32, 0.67845404f32, 0.38203686f32, 0.8049081f32, 0.15185219f32, 0.93601894f32, 0.61684775f32, 0.20772517f32, 0.36419612f32, 0.4438436f32, 0.18395472f32, 0.6674173f32, 0.25327283f32, 0.6607728f32, 0.90155315f32, 3.67738e-2f32, 0.19900143f32, 0.8952958f32, 0.5522673f32, 0.802494f32, 0.4874494f32, 0.9780788f32, 0.9878657f32, 0.26358753f32, 0.31774992f32, 0.18799275f32, 0.8689921f32, 0.94066083f32, 0.9969273f32, 0.42957228f32, 0.70715785f32, 0.17724991f32],
[0.18331659f32, 0.34216386f32, 0.7775607f32, 0.9135651f32, 0.35084462f32, 0.654963f32, 0.48694032f32, 0.84730977f32, 0.48495823f32, 9.24592e-2f32, 0.75179994f32, 0.6189187f32, 0.28611702f32, 0.5669054f32, 0.90218306f32, 0.38588673f32, 0.20348877f32, 0.17733252f32, 0.15319538f32, 0.5327854f32, 0.27955294f32, 0.97272795f32, 0.27380675f32, 0.76257116f32, 0.33095396f32, 0.61177075f32, 0.5301143f32, 0.4239356f32, 9.687233e-2f32, 0.27566493f32, 0.3547625f32, 0.88578147f32, 0.96808165f32, 0.50517225f32, 0.517795f32, 0.39114803f32, 0.81605333f32, 0.6031481f32, 0.66357595f32, 0.100877404f32, 0.47378075f32, 0.738562f32, 0.96638f32, 0.9394098f32, 0.98678017f32, 0.21314561f32, 0.7339333f32, 0.18758619f32, 0.5529636f32, 0.38760543f32, 0.50818163f32, 0.3339808f32, 0.6916956f32, 0.96237534f32, 0.684599f32, 0.745068f32, 0.10408813f32, 0.23559141f32, 0.6051629f32, 0.7381065f32, 0.910887f32, 0.6401193f32, 0.92822725f32, 0.27333915f32],
[0.46810555f32, 9.915441e-2f32, 0.9566305f32, 0.32192743f32, 0.6376133f32, 0.29756618f32, 0.7028523f32, 0.36619997f32, 0.29000545f32, 0.68817544f32, 0.9305839f32, 0.5264044f32, 5.9813738e-2f32, 0.4068001f32, 0.1335398f32, 0.80163974f32, 0.795128f32, 0.89694405f32, 0.12896031f32, 0.5943527f32, 0.35868895f32, 0.4218155f32, 0.7058509f32, 0.13024831f32, 0.8893489f32, 0.16458464f32, 2.5581956e-2f32, 0.7757049f32, 0.47546452f32, 0.7160763f32, 0.83469653f32, 0.8588215f32, 0.59598804f32, 0.42965704f32, 0.558408f32, 0.8228225f32, 8.080268e-2f32, 0.5949332f32, 0.12768352f32, 0.9050722f32, 0.91398644f32, 0.5883504f32, 0.5292679f32, 0.63067704f32, 0.17980301f32, 0.41937792f32, 0.59249544f32, 0.5121417f32, 0.36199546f32, 0.68492556f32, 0.9190775f32, 0.26163405f32, 0.5958313f32, 0.4788198f32, 0.47841603f32, 0.64874333f32, 0.96389306f32, 0.7960334f32, 0.5011003f32, 0.6490466f32, 0.34690666f32, 0.91430736f32, 0.3653292f32, 0.13844913f32],
[0.73078746f32, 0.5599072f32, 0.8091794f32, 0.6334599f32, 0.28804058f32, 7.425654e-2f32, 0.8565115f32, 0.15299386f32, 0.72797215f32, 0.4367571f32, 0.6103126f32, 0.69209373f32, 0.39023888f32, 0.37501615f32, 0.7625615f32, 0.5104631f32, 0.53991747f32, 0.79231006f32, 0.32087582f32, 0.9877617f32, 0.38923424f32, 0.41047907f32, 0.24343246f32, 0.9651285f32, 0.8031171f32, 0.4520343f32, 0.119322896f32, 0.2856034f32, 0.89233565f32, 0.19027764f32, 0.3159098f32, 0.9259185f32, 0.40426433f32, 0.14041203f32, 0.973541f32, 0.29035145f32, 0.29194134f32, 0.18469322f32, 0.70767903f32, 0.56732666f32, 0.5880526f32, 0.43838984f32, 0.16929758f32, 1.4715016e-2f32, 0.7444179f32, 0.2171728f32, 0.5833285f32, 9.353173e-2f32, 0.26617962f32, 0.4857719f32, 2.951771e-2f32, 0.6936426f32, 0.25865275f32, 0.9208611f32, 8.0365e-2f32, 0.51577866f32, 0.118581f32, 0.8078613f32, 0.62355924f32, 0.6346661f32, 0.5019876f32, 0.6865202f32, 8.377552e-2f32, 0.124093294f32],
[0.55655986f32, 0.10197449f32, 0.744624f32, 0.43640155f32, 4.126829e-2f32, 0.99557495f32, 2.1398485e-2f32, 0.16573429f32, 0.44620824f32, 5.2020013e-2f32, 0.38855422f32, 0.6314547f32, 0.640456f32, 0.89262986f32, 0.9908864f32, 0.9797349f32, 0.54332995f32, 0.6928786f32, 0.74580836f32, 0.7947624f32, 0.5473881f32, 0.92779326f32, 0.34397793f32, 0.64385843f32, 0.23993796f32, 0.6844741f32, 0.82063586f32, 0.9363514f32, 0.81808364f32, 0.7232536f32, 0.23136926f32, 0.77061003f32, 0.7303302f32, 9.437394e-2f32, 4.948944e-2f32, 0.6006453f32, 0.8929912f32, 0.71628004f32, 0.9772706f32, 0.8543008f32, 0.6563626f32, 0.7332834f32, 0.8043076f32, 5.8448255e-2f32, 0.19661379f32, 8.189148e-2f32, 0.8843535f32, 0.21196866f32, 0.8883375f32, 0.366179f32, 0.97314703f32, 0.5839764f32, 0.8082764f32, 0.4477418f32, 0.3094836f32, 0.7072978f32, 0.430663f32, 4.509765e-2f32, 0.7025331f32, 0.96643674f32, 0.32114184f32, 0.6023363f32, 0.24336684f32, 0.69497013f32],
[0.98623675f32, 3.141743e-2f32, 0.38798016f32, 0.2996381f32, 0.6129091f32, 0.4786477f32, 0.31475055f32, 8.998293e-2f32, 0.9936817f32, 3.3343434e-2f32, 0.29962838f32, 0.10048109f32, 0.93157196f32, 0.65974903f32, 0.18933797f32, 7.063019e-2f32, 0.9956148f32, 0.808101f32, 0.9795978f32, 0.8733158f32, 0.51736677f32, 0.8609577f32, 0.72315717f32, 0.6785833f32, 0.24950099f32, 0.6318768f32, 0.3161052f32, 0.40382415f32, 0.8053493f32, 0.88609785f32, 0.19561046f32, 0.9160625f32, 0.715487f32, 0.64882946f32, 0.29743302f32, 0.26091325f32, 0.5438109f32, 0.22744691f32, 1.975602e-2f32, 0.6981083f32, 0.61181307f32, 0.23776805f32, 0.7987178f32, 0.5571462f32, 0.37269807f32, 2.833426e-3f32, 6.5386415e-2f32, 0.30461806f32, 0.3200236f32, 0.4047948f32, 0.27403092f32, 0.16037482f32, 0.706145f32, 0.33469796f32, 0.7604733f32, 0.86751866f32, 0.30521423f32, 0.72743225f32, 0.9276066f32, 0.65994984f32, 0.42015946f32, 0.7048769f32, 0.123773575f32, 0.41160655f32],
[0.6442768f32, 0.84246576f32, 0.43047243f32, 0.52027524f32, 0.81255215f32, 0.5393176f32, 0.6277378f32, 0.9241603f32, 0.9761501f32, 0.3615315f32, 0.9449723f32, 0.70240355f32, 0.19844127f32, 0.48301238f32, 7.013774e-2f32, 0.57021654f32, 7.4564576e-2f32, 0.5834857f32, 0.9001858f32, 6.138712e-2f32, 2.3952425e-2f32, 0.3110214f32, 0.9206539f32, 0.82968324f32, 0.5905211f32, 0.11068672f32, 0.6420363f32, 0.18953913f32, 6.849933e-2f32, 0.9266622f32, 0.41938376f32, 0.32122022f32, 0.16984755f32, 0.9957891f32, 0.14138514f32, 0.48044926f32, 0.6271292f32, 0.25974393f32, 0.2771449f32, 0.83818686f32, 0.15176266f32, 0.5036209f32, 0.4771105f32, 0.1700697f32, 0.20796329f32, 0.9087031f32, 0.51138455f32, 0.1953339f32, 0.31858063f32, 3.393823e-2f32, 0.9816825f32, 0.12940115f32, 0.91248417f32, 0.27339405f32, 0.5144125f32, 0.8366548f32, 0.69878316f32, 0.120595455f32, 9.628528e-2f32, 0.10952437f32, 3.0644655e-2f32, 9.4991684e-2f32, 5.307734e-3f32, 0.72341514f32],
[0.4664783f32, 0.57006073f32, 0.797066f32, 0.22405005f32, 0.9049522f32, 0.9728894f32, 0.8868302f32, 0.43630487f32, 0.65818655f32, 0.7375586f32, 2.2747993e-2f32, 0.122766495f32, 0.624303f32, 0.96205986f32, 0.87203f32, 0.5555093f32, 0.6771829f32, 0.9234572f32, 0.6995865f32, 0.48289293f32, 0.25624245f32, 0.4333927f32, 0.89297044f32, 0.63747454f32, 0.96055233f32, 0.65081334f32, 0.25516742f32, 9.768808e-2f32, 0.46578288f32, 0.3797781f32, 0.8364184f32, 3.3330977e-2f32, 0.7657074f32, 0.14743638f32, 0.16386914f32, 0.24297339f32, 0.25105506f32, 2.9945195e-2f32, 0.6461052f32, 0.62373316f32, 7.601005e-2f32, 0.31033462f32, 0.24116945f32, 0.6236377f32, 0.5776007f32, 0.3145635f32, 0.14084578f32, 0.98443f32, 0.5818097f32, 0.14291549f32, 6.147504e-3f32, 0.85120785f32, 9.40901e-3f32, 0.6695058f32, 0.8906609f32, 7.2410345e-2f32, 0.57250357f32, 0.3947221f32, 0.660398f32, 0.27258843f32, 0.25032812f32, 0.94411564f32, 9.820968e-2f32, 0.86364615f32],
[0.9784018f32, 4.7280252e-2f32, 0.5570147f32, 0.5493244f32, 0.4252714f32, 0.8570626f32, 0.21469682f32, 0.9833821f32, 0.22793114f32, 6.228715e-2f32, 0.66471577f32, 0.5342251f32, 0.6724092f32, 4.650551e-2f32, 8.8534e-2f32, 0.10276711f32, 0.91997105f32, 0.79204077f32, 0.83994305f32, 0.17572826f32, 0.9665244f32, 0.22288996f32, 0.7765587f32, 0.6106892f32, 0.41613388f32, 0.1584785f32, 0.39789885f32, 0.4127651f32, 0.39585757f32, 0.5578966f32, 0.6844195f32, 0.5751628f32, 8.4312975e-2f32, 0.7552153f32, 0.84464145f32, 5.5218518e-2f32, 0.79252285f32, 0.224316f32, 0.7044893f32, 0.88647866f32, 8.707392e-2f32, 0.12539983f32, 0.5634066f32, 0.9113533f32, 0.3784207f32, 3.7721395e-2f32, 0.77892697f32, 0.5975702f32, 0.424596f32, 4.059291e-2f32, 0.8830209f32, 0.34719038f32, 0.5181308f32, 0.7645776f32, 0.16496152f32, 0.1656723f32, 0.2409519f32, 0.85536754f32, 3.3950686e-2f32, 0.121340156f32, 0.6176494f32, 0.11538446f32, 0.9306291f32, 0.103470504f32],
[0.931808f32, 0.7811767f32, 0.657648f32, 0.50240153f32, 0.28576434f32, 6.8751514e-2f32, 0.5096268f32, 2.4691701e-2f32, 0.5104367f32, 0.35059887f32, 0.4695093f32, 0.2824285f32, 0.59639823f32, 0.32133722f32, 0.6207634f32, 0.4385007f32, 0.46735954f32, 5.3980947e-2f32, 0.86400485f32, 0.8876434f32, 0.1715799f32, 0.11112434f32, 3.129095e-2f32, 0.33651894f32, 0.12675178f32, 0.51072574f32, 0.845847f32, 0.20148003f32, 0.24048507f32, 0.25220764f32, 0.7976383f32, 0.23311251f32, 0.708132f32, 1.3398528e-3f32, 0.73978645f32, 0.3055814f32, 0.7660645f32, 0.28345978f32, 0.45109862f32, 0.18948996f32, 0.15958631f32, 4.5429647e-2f32, 0.3051597f32, 0.22625214f32, 6.42246e-2f32, 0.4282533f32, 0.45754302f32, 0.3154441f32, 0.7379663f32, 0.99887645f32, 0.7566688f32, 0.9825323f32, 0.66571224f32, 0.26605833f32, 0.5384456f32, 0.14772272f32, 0.80276537f32, 5.6332886e-2f32, 0.42609215f32, 0.7298643f32, 0.90834796f32, 0.31759012f32, 0.70638216f32, 0.36810917f32],
[0.41790336f32, 0.9132433f32, 0.14976025f32, 0.47564453f32, 1.723212e-2f32, 0.19085717f32, 0.7980957f32, 0.124669135f32, 0.40781343f32, 0.53773415f32, 0.28729308f32, 0.75959754f32, 0.7358115f32, 6.519586e-2f32, 0.48816133f32, 0.48418754f32, 0.60397935f32, 0.9709221f32, 0.9017592f32, 0.29511398f32, 0.6985624f32, 0.14273947f32, 8.868027e-2f32, 0.48110235f32, 0.99373174f32, 0.61984015f32, 0.92193377f32, 1.2024164e-2f32, 0.942646f32, 0.6422765f32, 0.8078294f32, 0.34826565f32, 0.77794516f32, 5.2489102e-2f32, 0.78757024f32, 0.32733357f32, 0.1604163f32, 0.3121757f32, 0.30377853f32, 0.29308122f32, 0.72750294f32, 0.7085905f32, 0.96813434f32, 0.2357781f32, 7.5933933e-3f32, 0.24005097f32, 0.15668249f32, 0.96310925f32, 0.74601793f32, 0.4392022f32, 0.61650443f32, 0.8896845f32, 3.5262585e-2f32, 0.99600106f32, 0.95214903f32, 0.67033947f32, 0.34637457f32, 0.17562485f32, 0.82730114f32, 0.17890316f32, 2.0699501e-2f32, 0.6366577f32, 0.50782883f32, 0.53698874f32],
